procédé;paramètre considéré;;nom cellule;valeur attribuée;unité;remarques
;;Capacité de rétention sable TE>1,36;;3.5;kgMES/m3;
;;Capacité de rétention bicouche sable ponce 1 m;;2;kgMES/m3;
;;Capacité de rétention bicouche sable ponce 2 m;;4;kgMES/m3;
;;Vitesse de filtration ponce;hyp_III_filtrasable_vitesse_filtration;15;m/h;fiche P. JOUAFFRE corrigée par K. GAID
;;Vitesse de filtration schiste TE <2,5 H 1m;;10;m/h;
;;Vitesse de filtration schiste TE <2,5 h 2m;;15;m/h;
;;Vitesse de filtration sable fin TE~3;;6;m/h;
;;Vitesse de filtration sable TE>1,37;;15;m/h;
;;Vitesse de filtration bicouche sable ponce 1 m;;10;m/h;
;;Vitesse de filtration bicouche sable ponce 2 m;;15;m/h;
;;Hauteur de matériau ponce;hyp_III_filtrasable_hauteur_materiau;2;m;fiche P. JOUAFFRE corrigée par K. GAID
;;Hauteur de matériau schiste TE <2,5 H 1m;;1;m;
;;Hauteur de matériau schiste TE <2,5 h 2m;;2;m;
;;Hauteur de matériau sable fin TE~4;;1;m;
;;Hauteur de matériau sable TE>1,38;;2;m;
;;Hauteur de matériau bicouche sable ponce 1 m;;1;m;
;;Hauteur de matériau bicouche sable ponce 2 m;;2;m;
;;Vitesse eau de lavage ponce;hyp_III_filtrasable_eau_lavage_vitesse;35;m/h;fiche P. JOUAFFRE corrigée par K. GAID
;;Vitesse eau de lavage schiste TE <2,5 H 1m;;60;m/h;
;;Vitesse eau de lavage schiste TE <2,5 h 2m;;80;m/h;
;;Vitesse eau de lavage sable fin TE~5;;25;m/h;
;;Vitesse eau de lavage sable TE>1,39;;60;m/h;
;;Vitesse eau de lavage bicouche sable ponce 1 m;;35;m/h;
;;Vitesse eau de lavage bicouche sable ponce 2 m;;35;m/h;
;;Vitesse air de lavage ponce;hyp_III_filtrasable_air_lavage_vitesse;55;Nm/h;fiche P. JOUAFFRE corrigée par K. GAID
;;Vitesse air de lavage schiste TE <2,5 H 1m;;50;Nm/h;
;;Vitesse air de lavage schiste TE <2,5 h 2m;;55;Nm/h;
;;Vitesse air de lavage sable fin TE~6;;50;Nm/h;
;;Vitesse air de lavage sable TE>1,40;;55;Nm/h;
;;Vitesse air de lavage bicouche sable ponce 1 m;;50;Nm/h;
;;Vitesse air de lavage bicouche sable ponce 2 m;;50;Nm/h;
;;Surface maximale d'un filtre;hyp_III_filtrasable_surface_unitaire_max;125;m2;fiche P. JOUAFFRE corrigée par K. GAID
;;Nombre minimal de filtres;hyp_III_filtrasable_nb_filtres_mini;4;-;fiche P. JOUAFFRE corrigée par K. GAID
;;Temps de fonctionnement de l'air de lavage par lavage;hyp_III_filtrasable_air_lavage_tps_fct_min_lavage;9;min/lavage;fiche P. JOUAFFRE corrigée par K. GAID
;;Temps de retour des eaux sales;hyp_III_filtrasable_pompe_ES_tps_fct;18;h/j;fiche P. JOUAFFRE corrigée par K. GAID
BOUE;;;;;;
